id,input_file,source_file,answer_type,selected_metric,metric_family,gold_field,predicted_field,gold_value,predicted_value,absolute_error,relative_error,strict_tolerance,relaxed_tolerance,within_strict_tolerance,within_relaxed_tolerance,exact_match,contains_gold_text,rowset_f1,prompt_tokens,completion_tokens,total_tokens,question,rag_answer
raster_only:aspect+poi:0,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,aspect+poi.jsonl,aspect,rowset_f1,rowset,,,,,,,,,,,,,0.0,,,5816,"What is the slope orientation in degrees at Tina Kim Gallery, New York, NY?",The retrieved records do not provide enough evidence for the requested location.
raster_only:aspect+poi:1,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,aspect+poi.jsonl,aspect,rowset_f1,rowset,,,,,,,,,,,,,0.0,,,5820,"At how many degrees from north does the surface point at Hyak Park, OR?","The retrieved DEM records do not provide coverage for Hyak Park, OR. Therefore, the surface direction cannot be determined."
raster_only:aspect+poi:2,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,aspect+poi.jsonl,aspect,rowset_f1,rowset,,,,,,,,,,,,,0.0,,,6425,"What compass bearing does the hillside at Oregon Film Museum, Astoria, OR face?",The retrieved records do not provide enough evidence to determine the compass bearing of the hillside at Oregon Film Museum.
raster_only:aspect+poi:3,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,aspect+poi.jsonl,aspect,rowset_f1,rowset,,,,,,,,,,,,,0.0,,,5598,"What is the terrain aspect angle at East End Park, Frostburg, MD?",The retrieved records do not provide information about the terrain aspect angle.
raster_only:aspect+poi:4,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,aspect+poi.jsonl,aspect,rowset_f1,rowset,,,,,,,,,,,,,0.0,,,5619,"What is the terrain aspect angle at Jemez State Monument, Jemez Springs, NM?",The provided records do not contain information about the terrain aspect angle.
raster_only:aspect+poi:5,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,aspect+poi.jsonl,aspect,rowset_f1,rowset,,,,,,,,,,,,,0.0,,,6689,"What compass bearing does the hillside at Catawba County Historical Museum, Newton, NC face?",The retrieved records do not provide enough evidence to determine the compass bearing of the hillside at Catawba County Historical Museum.
raster_only:aspect+poi:6,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,aspect+poi.jsonl,aspect,rowset_f1,rowset,,,,,,,,,,,,,0.0,,,6236,"In what direction does the terrain face at Fort Steuben, Steubenville, OH, measured in degrees from north?","The retrieved DEM records do not provide coverage for the specified location, so the direction the terrain faces cannot be determined."
raster_only:aspect+poi:7,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,aspect+poi.jsonl,aspect,rowset_f1,rowset,,,,,,,,,,,,,0.0,,,6690,"What compass bearing does the hillside at Sikorsky HH-52A Seaguard, Mobile, AL face?","The retrieved records do not provide enough evidence to determine the compass bearing of the hillside at Sikorsky HH-52A Seaguard, Mobile, AL."
raster_only:aspect+poi:8,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,aspect+poi.jsonl,aspect,rowset_f1,rowset,,,,,,,,,,,,,0.0,,,6103,"What compass bearing does the hillside at Oyster, Washington, DC face?","The retrieved records do not provide enough evidence to determine the compass bearing of the hillside at Oyster, Washington, DC."
raster_only:aspect+poi:9,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,aspect+poi.jsonl,aspect,rowset_f1,rowset,,,,,,,,,,,,,0.0,,,5842,"In what direction does the terrain face at Eaton DC, Washington, DC, measured in degrees from north?","The retrieved DEM GeoTIFF records do not cover the location of Eaton DC, Washington, DC. Therefore, the direction the terrain faces cannot be determined."
raster_only:aspect+poi:10,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,aspect+poi.jsonl,aspect,rowset_f1,rowset,,,,,,,,,,,,,0.0,,,5625,"What is the terrain aspect angle at Canyonlands National Park, UT?",The retrieved records do not provide information about the terrain aspect angle.
raster_only:aspect+poi:11,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,aspect+poi.jsonl,aspect,rowset_f1,rowset,,,,,,,,,,,,,0.0,,,6068,"What is the aspect of the slope at The Baker Museum, Naples, FL?",The retrieved raster records do not provide enough evidence for the requested location.
raster_only:aspect+poi:12,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,aspect+poi.jsonl,aspect,rowset_f1,rowset,,,,,,,,,,,,,0.0,,,5700,"What is the slope orientation in degrees at Ohio Caverns, West Liberty, OH?",The retrieved records do not provide information about the slope orientation in degrees at Ohio Caverns.
raster_only:aspect+poi:13,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,aspect+poi.jsonl,aspect,rowset_f1,rowset,,,,,,,,,,,,,0.0,,,5893,"What compass bearing does the hillside at Ojito Wilderness Study Area, San Luis, NM face?",The retrieved DEM records do not provide enough evidence for the requested location.
raster_only:aspect+poi:14,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,aspect+poi.jsonl,aspect,rowset_f1,rowset,,,,,,,,,,,,,0.0,,,5890,"In what direction does the terrain face at Antioch University - Santa Barbara, Santa Barbara, CA, measured in degrees from north?",The retrieved DEM records do not provide coverage for the requested location.
raster_only:aspect+poi:15,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,aspect+poi.jsonl,aspect,rowset_f1,rowset,,,,,,,,,,,,,0.0,,,5912,"What is the aspect of the slope at Tam O'Shanter, Los Angeles, CA?","The retrieved records do not provide enough evidence to determine the aspect of the slope at Tam O'Shanter, Los Angeles, CA."
raster_only:aspect+poi:16,/baselines/cache/gemini_rag_raster/raster_only/raster_rag.jsonl,aspect+poi.jsonl,aspect,rowset_f1,rowset,,,,,,,,,,,,,0.0,,,2345,"What is the aspect of the slope at The James, New York, NY?",The provided records do not contain information about the aspect of the slope at this location.
